GeneID,GeneName,p-value,log2FC
ENSG00000211679,IGLC3,1,0
ENSG00000211680,IGLJ4,1,0
ENSG00000211684,IGLJ7,1,0
ENSG00000211685,IGLC7,1,0
ENSG00000211687,TRGJ2,1,0
ENSG00000211688,TRGJP2,1,0
ENSG00000211689,TRGC1,1,0
ENSG00000211689,TRGC1,1,0
ENSG00000211690,TRGJ1,1,0
ENSG00000211691,TRGJP,1,0
ENSG00000211692,TRGJP1,1,0
ENSG00000211695,TRGV9,1,0.2
ENSG00000211696,TRGV8,1,0.7
ENSG00000211697,TRGV5,0.885738814,0.3
ENSG00000211698,TRGV4,1,0
ENSG00000211699,TRGV3,1,-0.5
ENSG00000211701,TRGV1,1,0
ENSG00000211706,TRBV6-1,1,0
ENSG00000211707,TRBV7-1,1,0
ENSG00000211710,TRBV4-1,1,0
ENSG00000211713,TRBV6-4,1,0
ENSG00000211714,TRBV7-3,0.131309515,2.1
ENSG00000211715,TRBV5-3,1,-0.4
ENSG00000211716,TRBV9,0.113304597,1.8
ENSG00000211717,TRBV10-1,1,0.2
ENSG00000211720,TRBV11-1,1,0
ENSG00000211721,TRBV6-5,1,-0.3
ENSG00000211724,TRBV6-6,1,0
ENSG00000211725,TRBV5-5,1,0
ENSG00000211727,TRBV7-6,1,0
ENSG00000211728,TRBV5-6,1,0
ENSG00000211731,TRBV5-7,1,-0.3
ENSG00000211734,TRBV5-1,1,0
ENSG00000211739,TRBV12-2,1,0
ENSG00000211745,TRBV4-2,1,0
ENSG00000211746,TRBV19,1,0
ENSG00000211747,TRBV20-1,1,0
ENSG00000211749,TRBV23-1,1,0
ENSG00000211750,TRBV24-1,1,0
ENSG00000211751,TRBC1,1,0
ENSG00000211752,TRBV27,1,0
ENSG00000211753,TRBV28,1,0
ENSG00000211764,TRBJ2-1,1,0
ENSG00000211765,TRBJ2-2,1,0
ENSG00000211766,TRBJ2-2P,1,0
ENSG00000211767,TRBJ2-3,1,0.2
ENSG00000211768,TRBJ2-4,1,0
ENSG00000211769,TRBJ2-5,1,0
ENSG00000211770,TRBJ2-6,1,0
ENSG00000211771,TRBJ2-7,1,0
ENSG00000211772,TRBC2,1,0.4
ENSG00000211776,TRAV2,1,0.2
ENSG00000211777,TRAV3,1,0
ENSG00000211778,TRAV4,1,0
ENSG00000211779,TRAV5,1,0
ENSG00000211780,TRAV6,1,0
ENSG00000211781,TRAV7,1,0
ENSG00000211782,TRAV8-1,1,0
ENSG00000211783,TRAV9-1,1,0
ENSG00000211784,TRAV10,1,0
ENSG00000211785,TRAV12-1,1,0.2
ENSG00000211786,TRAV8-2,1,0
ENSG00000211787,TRAV8-3,1,0
ENSG00000211788,TRAV13-1,1,0
ENSG00000211789,TRAV12-2,1,0
ENSG00000211790,TRAV8-4,1,0
ENSG00000211791,TRAV13-2,1,0
ENSG00000211792,TRAV14DV4,1,0
ENSG00000211793,TRAV9-2,1,0
ENSG00000211794,TRAV12-3,1,0
ENSG00000211795,TRAV8-6,1,0
ENSG00000211796,TRAV16,1,0
ENSG00000211797,TRAV17,1,0
ENSG00000211798,TRAV18,1,0
ENSG00000211799,TRAV19,1,0
ENSG00000211800,TRAV20,1,0
ENSG00000211801,TRAV21,1,0
ENSG00000211802,TRAV22,1,0
ENSG00000211803,TRAV23DV6,1,0
ENSG00000211804,TRDV1,1,0
ENSG00000211805,TRAV24,1,0
ENSG00000211806,TRAV25,1,0
ENSG00000211807,TRAV26-1,1,0
ENSG00000211809,TRAV27,1,0
ENSG00000211810,TRAV29DV5,1,0
ENSG00000211812,TRAV26-2,1,0
ENSG00000211813,TRAV34,1,0
ENSG00000211814,TRAV35,1,0
ENSG00000211815,TRAV36DV7,1,0
ENSG00000211816,TRAV38-1,1,0
ENSG00000211817,TRAV38-2DV8,1,0
ENSG00000211818,TRAV39,1,0
ENSG00000211819,TRAV40,1,0
ENSG00000211820,TRAV41,1,0
ENSG00000211821,TRDV2,1,0
ENSG00000211825,TRDJ1,1,0
ENSG00000211826,TRDJ4,1,0
ENSG00000211827,TRDJ2,1,0
ENSG00000211828,TRDJ3,1,0
ENSG00000211831,TRAJ61,1,0
ENSG00000211832,TRAJ59,1,0
ENSG00000211833,TRAJ58,1,0
ENSG00000211834,TRAJ57,1,0
ENSG00000211835,TRAJ56,1,0
ENSG00000211836,TRAJ54,1,0
ENSG00000211837,TRAJ53,1,0
ENSG00000211838,TRAJ52,1,0
ENSG00000211839,TRAJ50,1,0
ENSG00000211840,TRAJ49,1,0
ENSG00000211841,TRAJ48,1,0
ENSG00000211842,TRAJ47,1,0
ENSG00000211843,TRAJ46,1,0
ENSG00000211844,TRAJ45,1,0
ENSG00000211845,TRAJ44,1,0
ENSG00000211846,TRAJ43,1,0
ENSG00000211847,TRAJ42,1,0
ENSG00000211848,TRAJ41,1,0
ENSG00000211849,TRAJ40,1,0
ENSG00000211850,TRAJ39,1,0
ENSG00000211851,TRAJ38,1,0
ENSG00000211854,TRAJ35,1,0
ENSG00000211855,TRAJ34,1,0
ENSG00000211856,TRAJ33,1,0
ENSG00000211857,TRAJ32,1,0
ENSG00000211858,TRAJ31,1,0
ENSG00000211859,TRAJ30,1,0
ENSG00000211860,TRAJ29,1,0
ENSG00000211861,TRAJ28,1,0
ENSG00000211862,TRAJ27,1,0
ENSG00000211863,TRAJ26,1,0
ENSG00000211864,TRAJ25,1,0
ENSG00000211865,TRAJ24,1,0
ENSG00000211866,TRAJ23,1,0
ENSG00000211867,TRAJ22,1,0
ENSG00000211868,TRAJ21,1,0
ENSG00000211869,TRAJ20,1,0
ENSG00000211870,TRAJ19,1,0
ENSG00000211871,TRAJ18,1,0
ENSG00000211872,TRAJ17,1,0
ENSG00000211873,TRAJ16,1,0
ENSG00000211875,TRAJ14,1,0
ENSG00000211876,TRAJ13,1,0
ENSG00000211877,TRAJ12,1,0
ENSG00000211878,TRAJ11,1,0
ENSG00000211879,TRAJ10,1,0
ENSG00000211880,TRAJ9,1,0
ENSG00000211881,TRAJ8,1,0
ENSG00000211882,TRAJ7,1,0
ENSG00000211883,TRAJ6,1,0
ENSG00000211884,TRAJ5,1,0
ENSG00000211885,TRAJ4,1,0
ENSG00000211886,TRAJ3,1,0
ENSG00000211887,TRAJ2,1,0
ENSG00000211888,TRAJ1,1,0
ENSG00000211890,IGHA2,1,0
ENSG00000211891,IGHE,0.094477164,2.3
ENSG00000211892,IGHG4,1,0
ENSG00000211893,IGHG2,1,0.2
ENSG00000211895,IGHA1,1,0
ENSG00000211896,IGHG1,1,0
ENSG00000211897,IGHG3,1,0
ENSG00000211898,IGHD,1,0
ENSG00000211899,IGHM,1,0
ENSG00000211900,IGHJ6,1,0
ENSG00000211904,IGHJ2,1,0
ENSG00000211905,IGHJ1,1,0
ENSG00000211907,IGHD1-26,1,0
ENSG00000211909,IGHD5-24,1,0
ENSG00000211911,IGHD3-22,1,0
ENSG00000211912,IGHD2-21,1,0
ENSG00000211914,IGHD6-19,1,0
ENSG00000211915,IGHD5-18,1,0
ENSG00000211917,IGHD3-16,1,0
ENSG00000211918,IGHD2-15,1,0
ENSG00000211920,IGHD6-13,1,0
ENSG00000211921,IGHD5-12,1,0
ENSG00000211923,IGHD3-10,1,0
ENSG00000211924,IGHD3-9,1,0
ENSG00000211925,IGHD2-8,1,0
ENSG00000211928,IGHD5-5,1,0
ENSG00000211930,IGHD3-3,1,0
ENSG00000211931,IGHD2-2,1,0
ENSG00000211933,IGHV6-1,1,0
ENSG00000211934,IGHV1-2,1,0
ENSG00000211935,IGHV1-3,1,-0.3
ENSG00000211937,IGHV2-5,1,0
ENSG00000211938,IGHV3-7,1,0
ENSG00000211941,IGHV3-11,1,0
ENSG00000211942,IGHV3-13,1,0
ENSG00000211943,IGHV3-15,1,0
ENSG00000211944,IGHV3-16,1,0
ENSG00000211945,IGHV1-18,1,0
ENSG00000211946,IGHV3-20,1,0
ENSG00000211947,IGHV3-21,1,0
ENSG00000211949,IGHV3-23,1,0.2
ENSG00000211950,IGHV1-24,1,0
ENSG00000211951,IGHV2-26,1,0
ENSG00000211952,IGHV4-28,1,0
ENSG00000211955,IGHV3-33,1,0
ENSG00000211956,IGHV4-34,1,0
ENSG00000211957,IGHV3-35,1,0
ENSG00000211958,IGHV3-38,1,0
ENSG00000211959,IGHV4-39,1,0
ENSG00000211961,IGHV1-45,1,0
ENSG00000211962,IGHV1-46,1,0
ENSG00000211964,IGHV3-48,1,0
ENSG00000211965,IGHV3-49,1,0
ENSG00000211966,IGHV5-51,1,0
ENSG00000211967,IGHV3-53,1,0
ENSG00000211968,IGHV1-58,1,0
ENSG00000211970,IGHV4-61,1,0
ENSG00000211972,IGHV3-66,1,0
ENSG00000211973,IGHV1-69,1,0
ENSG00000211974,IGHV2-70D,1,0
ENSG00000211976,IGHV3-73,1,0
ENSG00000211978,IGHV5-78,1,0
ENSG00000211979,IGHV7-81,0.00358702,-2.5
ENSG00000211991,MIR676,1,0
ENSG00000211997,MIR708,1,0.4
ENSG00000212013,MIR509-2,1,0
ENSG00000212014,MIR509-3,1,0
ENSG00000212017,MIR548U,1,0
ENSG00000212024,MIR550A3,1,0
ENSG00000212027,MIR374B,1,0.4
ENSG00000212036,MIR548BA,1,0
ENSG00000212040,MIR543,1,0
ENSG00000212100,MIR764,1,0
ENSG00000212102,MIR301B,1,0
ENSG00000212122,TSSK1B,1,0
ENSG00000212123,PRR22,0.593104433,0.8
ENSG00000212124,TAS2R19,0.481695991,1.1
ENSG00000212125,TAS2R15P,0.997833968,0
ENSG00000212126,TAS2R50,1,0.4
ENSG00000212127,TAS2R14,0.260794265,0.8
ENSG00000212127,TAS2R14,0.260794265,0.8
ENSG00000212128,TAS2R13,1,0.8
ENSG00000212133,RNU6-1168P,1,0
ENSG00000212134,AL031650.1,1,0
ENSG00000212135,SNORD67,0.698210089,-0.6
ENSG00000212136,RNU6-696P,1,0
ENSG00000212138,RNA5SP372,1,0.2
ENSG00000212140,RNU6-1320P,1,0
ENSG00000212144,AL161640.1,1,0
ENSG00000212145,AC137935.1,1,0
ENSG00000212146,RNU6-910P,1,0
ENSG00000212147,RNU6-1106P,1,0
ENSG00000212149,AC055866.1,1,0
ENSG00000212153,RNU1-82P,1,0
ENSG00000212154,RNA5SP377,1,0
ENSG00000212156,RNU6-576P,1,0
ENSG00000212157,RNU6-1319P,1,0
ENSG00000212158,SNORD66,1,-0.1
ENSG00000212160,RNU6-205P,1,0
ENSG00000212161,AL590560.1,1,0
ENSG00000212165,AL031684.1,1,0
ENSG00000212167,RNU6-763P,1,0
ENSG00000212168,AC073875.1,1,0
ENSG00000212170,RNU1-77P,1,0
ENSG00000212171,RNA5SP86,1,0
ENSG00000212172,RNU1-149P,1,0
ENSG00000212175,AC015982.1,1,0.2
ENSG00000212176,RNA5SP207,1,0
ENSG00000212181,AC019070.1,1,0
ENSG00000212182,AC010982.1,1,0
ENSG00000212184,RNU6-440P,1,0
ENSG00000212186,RNU6-258P,1,0
ENSG00000212187,AC092814.1,1,0
ENSG00000212189,RNU6-328P,1,0
ENSG00000212190,RNU6-298P,1,0
ENSG00000212191,AC017087.1,1,0
ENSG00000212195,AC011195.1,1,0
ENSG00000212199,RNU6-127P,1,0
ENSG00000212204,RNA5SP91,1,0
ENSG00000212206,AC135178.1,1,0
ENSG00000212207,RNU6-1321P,1,0
ENSG00000212211,AC096917.1,1,0
ENSG00000212214,SNORA48B,1,0
ENSG00000212215,RNU6-913P,1,0
ENSG00000212216,RNU6-816P,1,0
ENSG00000212219,RNU6-604P,1,0
ENSG00000212221,RNU6-220P,1,0
ENSG00000212224,AL133229.1,1,0
ENSG00000212226,RNU6-907P,1,0
ENSG00000212228,AC009121.2,1,0
ENSG00000212229,AL591004.1,1,0
ENSG00000212230,RNU6-747P,1,0
ENSG00000212232,SNORD17,0.124464724,-0.9
ENSG00000212237,RNA5SP18,1,0.5
ENSG00000212238,RNA5SP244,1,0
ENSG00000212240,RNU6-930P,1,-0.1
ENSG00000212242,RNA5SP219,0.752200375,0.6
ENSG00000212246,RNU6-360P,1,0
ENSG00000212247,RNU6-278P,1,0
ENSG00000212248,RNU6-750P,1,0
ENSG00000212249,AC093523.1,1,0
ENSG00000212251,RNA5SP376,1,0
ENSG00000212257,RNU6-1176P,1,0
ENSG00000212258,RNA5SP176,1,0
ENSG00000212259,RNU6-308P,1,0
ENSG00000212260,RNU6-724P,1,0.2
ENSG00000212264,SNORD65C,1,0.4
ENSG00000212265,RNA5SP185,1,0
ENSG00000212266,AL390877.1,1,0
ENSG00000212269,RNU6-788P,1,0
ENSG00000212270,AL359396.1,1,0
ENSG00000212273,AC090821.1,1,0
ENSG00000212276,RNA5SP292,1,0
ENSG00000212278,AC091857.1,1,0
ENSG00000212279,AC012435.1,1,0
ENSG00000212280,RNA5SP256,1,0
ENSG00000212282,RNU6-578P,1,0
ENSG00000212283,SNORD89,0.92366362,-0.1
ENSG00000212289,RNA5SP339,1,0
ENSG00000212292,RNU6-239P,1,0
ENSG00000212293,AL137247.1,1,0
ENSG00000212295,SNORD28B,1,0
ENSG00000212296,SNORD72,1,-0.1
ENSG00000212297,RNU6-821P,1,0
ENSG00000212298,RNU6-1009P,1,0
ENSG00000212302,AL135998.2,1,0
ENSG00000212303,RNU6-1154P,1,0
ENSG00000212304,SNORD12,1,0
ENSG00000212305,RNU6-679P,1,0
ENSG00000212308,RNA5SP23,1,0
ENSG00000212309,SNORD70B,1,-0.3
ENSG00000212312,RNA5SP109,1,0
ENSG00000212314,RNU6-1307P,1,0
ENSG00000212316,RNU6-1228P,1,0
ENSG00000212321,AL670318.1,1,0
ENSG00000212324,RNU6-129P,1,0
ENSG00000212327,RNU6-882P,1,-0.2
ENSG00000212329,RNU6-316P,1,0
ENSG00000212330,RNU6-244P,1,0
ENSG00000212331,RNA5SP297,1,0
ENSG00000212332,RNU6-780P,1,-0.1
ENSG00000212333,RNA5SP213,1,0
ENSG00000212336,RNA5SP210,1,0.2
ENSG00000212338,AL512326.2,1,0
ENSG00000212340,RNU6-739P,1,0
ENSG00000212342,AC103725.1,1,0
ENSG00000212344,RNU6-823P,1,0
ENSG00000212345,RNU6-700P,1,0
ENSG00000212347,AL031584.1,1,0
ENSG00000212348,RNU6-1300P,1,0
ENSG00000212354,RNU6-1242P,1,0
ENSG00000212358,RNU6-837P,1,0
ENSG00000212359,RNU6-550P,1,0
ENSG00000212360,RNU6-1177P,1,0
ENSG00000212363,AC010501.1,1,0
ENSG00000212365,RNA5SP332,1,0
ENSG00000212366,RNU6-1246P,1,0
ENSG00000212368,RNU6-1000P,1,0
ENSG00000212370,RNU6-482P,1,0.4
ENSG00000212373,RNA5SP171,1,0
ENSG00000212374,RNU6-401P,1,0
ENSG00000212377,AL139003.1,1,0
ENSG00000212378,AC092630.1,1,0
ENSG00000212379,RNU6-269P,1,0
ENSG00000212382,RNU6-159P,1,0
ENSG00000212383,AC121758.1,1,0
ENSG00000212384,SNORD113-2,1,0
ENSG00000212385,RNU6-817P,1,0.8
ENSG00000212387,RNU6-1055P,1,0
ENSG00000212388,RNU6-796P,1,0
ENSG00000212389,RNU6-1275P,1,0
ENSG00000212391,AC073149.1,1,0
ENSG00000212396,RNA5SP323,0.774410902,-0.5
ENSG00000212398,RNU6-1248P,1,0
ENSG00000212402,SNORA74B,1,0.2
ENSG00000212407,RNU6-663P,1,0
ENSG00000212409,RNY4P18,1,0
ENSG00000212410,RNU6-932P,1,0
ENSG00000212411,AL160060.1,1,0
ENSG00000212413,RNU11-3P,1,0
ENSG00000212414,SNORD77B,1,0
ENSG00000212415,AC018515.1,1,0
ENSG00000212418,RNY4P36,1,0
ENSG00000212420,RNU6-1111P,1,0
ENSG00000212421,AL136367.1,1,0.2
ENSG00000212422,AC004879.1,1,0
ENSG00000212424,RNU1-119P,1,0
ENSG00000212425,RNA5SP105,1,0
ENSG00000212428,AC124303.1,1,0
ENSG00000212429,RNU11-6P,1,0
ENSG00000212433,RNA5SP252,1,0
ENSG00000212434,AC002416.1,1,0
ENSG00000212441,RNU6-1269P,1,0
ENSG00000212442,RNU6-243P,1,0
ENSG00000212443,SNORA53,0.834731468,0.4
ENSG00000212445,AC130462.2,1,0
ENSG00000212446,RNU6-131P,1,0
ENSG00000212447,SNORD90,1,0
ENSG00000212450,RNU6-241P,1,0
ENSG00000212451,RNU11-4P,1,0
ENSG00000212452,SNORD69,0.518849581,-0.9
ENSG00000212454,RNA5SP286,1,0
ENSG00000212455,AC079802.1,1,0
ENSG00000212457,RNU6-644P,1,0
ENSG00000212458,AC092535.1,1,0
ENSG00000212459,RNU6-695P,1,0
ENSG00000212460,RNU6-460P,1,0
ENSG00000212461,AC078860.1,1,0
ENSG00000212464,SNORA12,1,1.2
ENSG00000212466,RNU6-952P,1,0
ENSG00000212468,RNU6-754P,1,0
ENSG00000212469,RNU6-1158P,1,0
ENSG00000212473,RNU1-101P,1,0
ENSG00000212475,RNU6-400P,1,0
ENSG00000212479,AF124730.1,1,-0.1
ENSG00000212482,RNU6-530P,1,0
ENSG00000212485,RNU6-1197P,1,0
ENSG00000212489,RNU6-1109P,1,0
ENSG00000212490,AC104066.2,1,0
ENSG00000212493,SNORD19,0.994942844,0
ENSG00000212495,RNU6-332P,1,0
ENSG00000212496,RNU6-1093P,1,0
ENSG00000212497,RNA5SP465,1,0.2
ENSG00000212498,SNORD86,1,0
ENSG00000212499,RNA5SP300,1,0
ENSG00000212505,RNA5SP299,1,0
ENSG00000212510,RNU6-972P,1,0
ENSG00000212511,AC018563.1,1,0
ENSG00000212516,RNU6-1268P,1,0
ENSG00000212517,AL121924.1,1,0
ENSG00000212518,RNU11-5P,1,0
ENSG00000212520,RNU6-1250P,1,0
ENSG00000212521,RNU6-918P,1,0
ENSG00000212525,RNA5SP212,1,0
ENSG00000212526,RNU6-466P,1,0
ENSG00000212527,RNA5SP63,1,0
ENSG00000212529,AC024561.1,1,0
ENSG00000212532,AL365219.1,1,0
ENSG00000212534,SNORD70,1,0
ENSG00000212535,RNU6-808P,1,0
ENSG00000212536,RNA5SP474,1,-0.3
ENSG00000212538,AL358875.1,1,0
ENSG00000212539,AC012301.1,1,0
ENSG00000212542,RNA5SP496,1,0
ENSG00000212545,RNU6-337P,1,0
ENSG00000212546,RNU6-995P,1,0
ENSG00000212549,RNA5SP354,1,0
ENSG00000212550,RNU1-78P,1,0
ENSG00000212551,AL078612.1,1,0
ENSG00000212553,AL138702.1,1,0
ENSG00000212558,AC104794.1,1,0
ENSG00000212559,RNA5SP35,1,0
ENSG00000212560,RNU6-630P,1,0
ENSG00000212561,RNU6-381P,1,0
ENSG00000212564,RNU6-1326P,1,0
ENSG00000212565,AC068531.1,1,0
ENSG00000212567,AC008810.1,1,0
ENSG00000212568,RNU6-1254P,1,0
ENSG00000212571,RNA5SP482,1,0
ENSG00000212576,RNA5SP467,1,0
ENSG00000212579,AL033519.1,0.725317218,-0.6
ENSG00000212581,AC007966.1,1,0
ENSG00000212584,RNU6-587P,1,0
ENSG00000212586,AL035555.1,1,0
ENSG00000212587,SNORA40C,1,0
ENSG00000212588,SNORA26,1,-0.4
ENSG00000212589,AL592546.1,1,0
ENSG00000212590,AC003109.1,1,0
ENSG00000212594,AC084364.1,1,0
ENSG00000212595,RNA5SP525,1,0
ENSG00000212597,RNU6-876P,1,0
ENSG00000212598,AC095349.1,1,0
ENSG00000212599,RNU6-279P,1,0
ENSG00000212601,RNA5SP53,1,0
ENSG00000212604,AC044913.1,1,0
ENSG00000212605,RNU1-56P,1,0
ENSG00000212607,SNORA3B,0.961516618,-0.1
ENSG00000212608,AC112218.1,1,0
ENSG00000212609,RNU1-139P,1,0
ENSG00000212610,AC092015.1,1,0
ENSG00000212611,AC236668.2,1,0
ENSG00000212612,RNU6-1239P,1,0
ENSG00000212615,AL121809.1,1,0
ENSG00000212618,AC090286.2,1,0
ENSG00000212620,AC118141.1,1,0
ENSG00000212623,RNU6-493P,1,0
ENSG00000212624,AL050343.1,1,0
ENSG00000212625,RNA5SP397,1,0
ENSG00000212626,AP005270.1,1,0
ENSG00000212628,RNA5SP241,1,0
ENSG00000212643,ZRSR2P1,1,0
ENSG00000212657,KRTAP16-1,1,0.5
ENSG00000212658,KRTAP29-1,1,0
ENSG00000212659,KRTAP9-6,1,0
ENSG00000212664,AC064799.1,0.214602571,-1.3
ENSG00000212694,LINC01089,0.321503238,0.5
ENSG00000212695,AL583805.1,1,0
ENSG00000212710,CTAGE1,1,-0.4
ENSG00000212712,AP002414.1,1,0
ENSG00000212719,LINC02693,0.814290399,-0.1
ENSG00000212721,KRTAP4-11,1,0
ENSG00000212722,KRTAP4-9,1,0.4
ENSG00000212724,KRTAP2-3,0.537507429,0.8
ENSG00000212725,KRTAP2-1,1,0
ENSG00000212747,RTL8B,0.000718744,-1
ENSG00000212766,EWSAT1,0.206898422,1.8
ENSG00000212802,RPL15P3,0.121661227,-0.6
ENSG00000212807,OR2A42,1,0
ENSG00000212864,RNF208,0.017078821,2.2
ENSG00000212899,KRTAP3-3,1,0
ENSG00000212900,KRTAP3-2,1,0
ENSG00000212901,KRTAP3-1,1,0
ENSG00000212907,MT-ND4L,0.665243417,-0.2
ENSG00000212916,MAP10,5.28e-16,6.1
ENSG00000212932,RPL23AP4,1,0
ENSG00000212933,KRTAP12-4,1,0
ENSG00000212935,KRTAP10-3,1,0
ENSG00000212938,KRTAP6-3,1,0
ENSG00000212978,AC016747.1,0.040440428,-0.8
ENSG00000212989,AC124293.1,1,0
ENSG00000212993,POU5F1B,1,0.2
ENSG00000213005,PTTG3P,0.841782019,0.3
ENSG00000213013,RPS15AP36,1,-0.5
ENSG00000213015,ZNF580,0.004277257,-0.9
ENSG00000213020,ZNF611,0.962887153,0
ENSG00000213022,KLK9,1,0
ENSG00000213023,SYT3,1,-0.1
ENSG00000213024,NUP62,6.3e-05,-1
ENSG00000213030,CGB8,1,-0.8
ENSG00000213035,RPL23AP80,1,0
ENSG00000213041,AC093422.1,1,0.6
ENSG00000213047,DENND1B,1.37e-09,1.5
ENSG00000213048,OR5S1P,1,-0.1
ENSG00000213051,RPL5P5,1,-0.3
ENSG00000213055,EEF1B2P7,1,0.1
ENSG00000213057,C1orf220,0.492136812,0.6
ENSG00000213064,SFT2D2,0.296550153,-0.3
ENSG00000213065,AL009178.1,1,0
ENSG00000213066,FGFR1OP,0.152306565,0.6
ENSG00000213068,AL451050.1,1,0
ENSG00000213070,HMGB3P6,1,0.4
ENSG00000213079,SCAF8,0.027015498,0.5
ENSG00000213081,AC012362.1,1,0
ENSG00000213083,AC010731.2,1,0
ENSG00000213085,CFAP45,0.407723386,0.6
ENSG00000213088,ACKR1,1,0.4
ENSG00000213090,AC007256.1,0.998569667,0
ENSG00000213096,AC092279.1,0.022342443,0.9
ENSG00000213100,KRT18P68,1,0
ENSG00000213107,AHCYP5,1,0
ENSG00000213109,AL365223.2,1,0
ENSG00000213111,COX5BP2,1,0
ENSG00000213113,TUBB8P8,1,0
ENSG00000213115,AC104131.1,1,0
ENSG00000213123,TCTEX1D2,0.494996205,-0.4
ENSG00000213130,EEF1DP5,1,0
ENSG00000213139,CRYGS,0.934823006,-0.1
ENSG00000213145,CRIP1,0.025136945,2.8
ENSG00000213147,RPL23AP60,1,0
ENSG00000213152,RPL7AP60,0.746694645,0.5
ENSG00000213158,GAPDHP36,1,0.5
ENSG00000213160,KLHL23,2.29e-13,-2.1
ENSG00000213160,KLHL23,2.29e-13,-2.1
ENSG00000213169,AC069218.1,1,0
ENSG00000213171,LINGO4,1,0
ENSG00000213176,RPL13P6,1,0
ENSG00000213179,RPL17P41,1,0
ENSG00000213180,RPL36AP48,1,0
ENSG00000213181,OR10N1P,1,0.2
ENSG00000213182,OR10D5P,1,0
ENSG00000213183,RPS7P8,1,0
ENSG00000213185,FAM24B,0.32645104,0.8
ENSG00000213186,TRIM59,0.073437949,-0.7
ENSG00000213188,YBX1P4,1,0.5
ENSG00000213190,MLLT11,0.000134644,1.4
ENSG00000213199,ASIC3,0.836319526,0.2
ENSG00000213203,GIMAP1,1,0
ENSG00000213211,KRT18P64,1,0
ENSG00000213213,CCDC183,0.389839092,1
ENSG00000213214,ARHGEF35,1,0.6
ENSG00000213215,OR2F1,1,0
ENSG00000213218,CSH2,1,0
ENSG00000213221,DNLZ,0.709850086,0.6
ENSG00000213222,AC093724.1,0.692835157,0.2
ENSG00000213225,NOC2LP1,0.057910688,1.4
ENSG00000213226,AC242426.1,1,0
ENSG00000213231,TCL1B,1,0.2
ENSG00000213233,RPL23AP62,1,0
ENSG00000213235,EEF1A1P16,0.708461912,-0.6
ENSG00000213238,AC008155.1,1,0
ENSG00000213246,SUPT4H1,0.329918209,1.4
ENSG00000213252,AP001282.1,1,0
ENSG00000213261,EEF1B2P6,0.403970009,-0.6
ENSG00000213265,TSGA13,1,-0.3
ENSG00000213269,AC004386.1,1,0
ENSG00000213270,RPL6P25,1,0
ENSG00000213272,RPL7AP9,1,0.4
ENSG00000213275,IFITM9P,1,0.2
ENSG00000213280,AC090114.1,0.940903499,-0.1
ENSG00000213281,NRAS,0.154144933,-0.3
ENSG00000213285,RPL23AP45,1,0
ENSG00000213287,AP001102.1,1,0
ENSG00000213290,PGK1P2,0.437315437,-0.8
ENSG00000213291,AC010099.1,1,-0.3
ENSG00000213293,AC012618.1,0.044469665,-1.2
ENSG00000213296,AC005521.1,1,0
ENSG00000213302,AC015983.1,1,0
ENSG00000213304,AC008481.2,0.220519596,1.7
ENSG00000213305,HNRNPCP6,1,0
ENSG00000213307,RPL18P11,1,0
ENSG00000213309,RPL9P18,0.580433976,-0.9
ENSG00000213312,RPL7AP34,1,0
ENSG00000213315,AL122020.1,0.932415917,-0.2
ENSG00000213316,LTC4S,1,1.1
ENSG00000213318,AC009078.1,1,0.5
ENSG00000213326,RPS7P11,0.996458573,0
ENSG00000213333,NPM1P50,1,0
ENSG00000213335,CLNS1AP1,1,0
ENSG00000213337,ANKRD39,0.146043113,0.6
ENSG00000213339,QTRT1,0.022714265,-1
ENSG00000213341,CHUK,0.520661557,0.2
ENSG00000213343,RPL21P18,1,0
ENSG00000213347,MXD3,0.51743658,-0.5
ENSG00000213358,AC092933.1,1,0
ENSG00000213361,AC004884.1,1,0
ENSG00000213363,RPS3P6,1,1.1
ENSG00000213365,AP000593.1,1,0.5
ENSG00000213366,GSTM2,1.86e-13,2.4
ENSG00000213371,NAP1L1P3,0.062779811,-1.5
ENSG00000213373,LINC00671,1,0.2
ENSG00000213380,COG8,0.288599732,-0.3
ENSG00000213384,EIF4E2P1,1,0
ENSG00000213385,AC105052.2,0.231666244,-1.7
ENSG00000213390,ARHGAP19,0.03775439,-0.6
ENSG00000213394,RPSAP46,1,-0.6
ENSG00000213397,HAUS7,0.336387837,-0.9
ENSG00000213398,LCAT,0.44766833,0.4
ENSG00000213399,AC022210.1,0.267602335,-1.4
ENSG00000213401,MAGEA12,4.9e-13,-6.8
ENSG00000213402,PTPRCAP,1,0
ENSG00000213412,HNRNPA1P33,1,-0.1
ENSG00000213413,PVRIG,1,0.4
ENSG00000213414,AC008677.1,1,0
ENSG00000213416,KRTAP4-12,1,0.5
ENSG00000213417,KRTAP2-4,1,0
ENSG00000213420,GPC2,0.032056566,-1.8
ENSG00000213421,AC099670.1,1,0
ENSG00000213424,KRT222,1,0.4
ENSG00000213431,AC080014.1,1,0
ENSG00000213432,RPL17P34,1,0.2
ENSG00000213439,OR5AC1,1,0
ENSG00000213442,RPL18AP3,0.352141653,-0.5
ENSG00000213445,SIPA1,0.691398599,0.1
ENSG00000213448,RPS23P2,1,0
ENSG00000213451,OR6C69P,1,0
ENSG00000213462,ERV3-1,0.034090535,-0.7
ENSG00000213463,SYNJ2BP,0.722708863,-0.1
